source,lender_TopRSSDID,lender_TopName,lender_TopName_lower,normalized_name_x,fuzzy_matched_name,id,date,fed_district_code,charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state,name_legal_lower,normalized_name_y
1.0,1025608,FIRST HAWAIIAN INC,first hawaiian inc,first hawaiian incorporated,first hawaiian incorporated,1025608,20171231,2,500,HONOLULU,UNITED STATES,1575569,5493002DJSH46F5OLV06,"FIRST HAWAIIAN, INC.",FIRST HAWAIIAN,1,FRS,HI,"first hawaiian, inc.",first hawaiian incorporated
3.0,1026801,FREMONT BANCORPORATION,fremont bancorporation,fremont bancorporation,fremont bancorporation,1026801,20171231,12,500,FREMONT,UNITED STATES,0,549300HJ9U2LJ44PTD84,FREMONT BANCORPORATION,FREMONT BC,1,FRS,CA,fremont bancorporation,fremont bancorporation
1.0,1030040,BANK OF CMRC HOLD,bank of cmrc hold,bank of cmrc hold,bank of commerce holdings,1030040,20171231,12,500,SACRAMENTO,UNITED STATES,0,HIDHKSSVNILGQQ1P9A04,BANK OF COMMERCE HOLDINGS,BANK OF CMRC HOLD,1,FRS,CA,bank of commerce holdings,bank of commerce holdings
1.0,1030170,TRICO BANCSHARES,trico bancshares,trico bancshares,trico bancshares,1030170,20171231,12,500,CHICO,UNITED STATES,0,0,TRICO BANCSHARES,TRICO BSHRS,1,FRS,CA,trico bancshares,trico bancshares
2.0,1031449,SVB FINANCIAL GROUP,svb financial group,svb financial group,svb financial group,1031449,20171231,12,500,SANTA CLARA,UNITED STATES,0,549300D2KJ20JMXE7542,SVB FINANCIAL GROUP,SVB FNCL GRP,1,FRS,CA,svb financial group,svb financial group
1.0,f288,JVB FINANCIAL GROUP,jvb financial group,jvb financial group,svb financial group,1031449,20171231,12,500,SANTA CLARA,UNITED STATES,0,549300D2KJ20JMXE7542,SVB FINANCIAL GROUP,SVB FNCL GRP,1,FRS,CA,svb financial group,svb financial group
1.0,1037003,M&T BANK CORPORATION,m&t bank corporation,mt bank corporation,mt bank corporation,1037003,20171231,2,500,BUFFALO,UNITED STATES,0,0,M&T BANK CORPORATION,M&T BK CORP,1,FRS,NY,m&t bank corporation,mt bank corporation
1.0,1039502,JPMORGAN CHASE & CO,jpmorgan chase & co,jpmorgan chase company,jpmorgan chase company,1039502,20171231,2,500,NEW YORK,UNITED STATES,0,8I5DZWZKVSZI1NUHU748,JPMORGAN CHASE & CO.,JPMORGAN CHASE & CO,1,FRS,NY,jpmorgan chase & co.,jpmorgan chase company
1.0,1048513,TRUSTCO BANK CORP NY,trustco bank corp ny,trustco bank corporation ny,trustco bank corporation ny,1048513,20171231,3,500,GLENVILLE,UNITED STATES,0,0,TRUSTCO BANK CORP NY,TRUSTCO BC NY,4,FRS,NY,trustco bank corp ny,trustco bank corporation ny
2.0,1048728,BALLSTON SPA BANCORP INC,ballston spa bancorp inc,ballston spa bancorp incorporated,ballston spa bancorp incorporated,1048728,20171231,2,500,BALLSTON SPA,UNITED STATES,0,549300GZP3XCTYS85G65,"BALLSTON SPA BANCORP, INC.",BALLSTON SPA BC,1,FRS,NY,"ballston spa bancorp, inc.",ballston spa bancorp incorporated
1.0,1048773,VALLEY NATIONAL BANCORP,valley national bancorp,valley national bancorp,valley national bancorp,1048773,20171231,2,500,WAYNE,UNITED STATES,0,0,VALLEY NATIONAL BANCORP,VALLEY NAT BC,1,FRS,NJ,valley national bancorp,valley national bancorp
3.0,1048867,COMMUNITY BANK SYSTEM INC,community bank system inc,community bank system incorporated,community bank system incorporated,1048867,20171231,2,500,SYRACUSE,UNITED STATES,0,0,"COMMUNITY BANK SYSTEM, INC.",COMMUNITY BK SYS,1,FRS,NY,"community bank system, inc.",community bank system incorporated
1.0,1048894,FIRST OF LONG ISLAND CORPORATION THE,first of long island corporation the,first of long island corporation the,first of long island corporation the,1048894,20171231,2,500,GLEN HEAD,UNITED STATES,0,0,"FIRST OF LONG ISLAND CORPORATION, THE",FIRST OF LONG ISLAND CORP,1,FRS,NY,"first of long island corporation, the",first of long island corporation the
1.0,1049828,UMB FINANCIAL CORPORATION,umb financial corporation,umb financial corporation,umb financial corporation,1049828,20171231,10,500,KANSAS CITY,UNITED STATES,0,549300MGEH3N3CUCV828,UMB FINANCIAL CORPORATION,UMB FC,1,FRS,MO,umb financial corporation,umb financial corporation
1.0,1057962,QUAIL CREEK BANCSHARES INC,quail creek bancshares inc,quail creek bancshares incorporated,quail creek bancshares incorporated,1057962,20171231,10,500,OKLAHOMA CITY,UNITED STATES,0,0,"QUAIL CREEK BANCSHARES, INC.",QUAIL CREEK BSHRS,1,FRS,OK,"quail creek bancshares, inc.",quail creek bancshares incorporated
1.0,1057980,ARKANSAS VALLEY BANCSHARES INC,arkansas valley bancshares inc,arkansas valley bancshares incorporated,arkansas valley bancshares incorporated,1057980,20171231,10,500,BROKEN ARROW,UNITED STATES,0,549300D0UI5FBVP9BG79,"ARKANSAS VALLEY BANCSHARES, INC.",ARKANSAS VALLEY BSHRS,1,FRS,OK,"arkansas valley bancshares, inc.",arkansas valley bancshares incorporated
3.0,1062135,SPIRIT BANKCORP INC,spirit bankcorp inc,spirit bankcorp incorporated,spirit bankcorp incorporated,1062135,20171231,10,500,BRISTOW,UNITED STATES,0,0,"SPIRIT BANKCORP, INC.",SPIRIT BC,1,FRS,OK,"spirit bankcorp, inc.",spirit bankcorp incorporated
1.0,1064278,INTRUST FINANCIAL CORPORATION,intrust financial corporation,intrust financial corporation,intrust financial corporation,1064278,20171231,10,500,WICHITA,UNITED STATES,0,549300UT14PGK0YPUU83,INTRUST FINANCIAL CORPORATION,INTRUST FC,1,FRS,KS,intrust financial corporation,intrust financial corporation
1.0,1068025,KEYCORP,keycorp,keycorp,keycorp,1068025,20171231,4,500,CLEVELAND,UNITED STATES,0,RKPI3RZGV1V1FJTH5T61,KEYCORP,KEYCORP,1,FRS,OH,keycorp,keycorp
1.0,1068191,HUNTINGTON BANCSHARES INCORPORATED,huntington bancshares incorporated,huntington bancshares incorporated,huntington bancshares incorporated,1068191,20171231,4,500,COLUMBUS,UNITED STATES,0,0,HUNTINGTON BANCSHARES INCORPORATED,HUNTINGTON BSHRS,1,FRS,OH,huntington bancshares incorporated,huntington bancshares incorporated
1.0,1068191,HUNTINGTON BANCSHARES INCORPORATED,huntington bancshares incorporated,huntington bancshares incorporated,huntington bancshares incorporated,1109601,20171231,11,500,HUNTINGTON,UNITED STATES,0,0,"HUNTINGTON BANCSHARES, INC.",HUNTINGTON BSHRS,1,FRS,TX,"huntington bancshares, inc.",huntington bancshares incorporated
1.0,1069778,PNC FINANCIAL SERVICES GROUP INC THE,pnc financial services group inc the,pnc financial services group incorporated the,pnc financial services group incorporated the,1069778,20171231,4,500,PITTSBURGH,UNITED STATES,0,CFGNEKW0P8842LEUIA51,"PNC FINANCIAL SERVICES GROUP, INC., THE",PNC FNCL SVC GROUP,1,FRS,PA,"pnc financial services group, inc., the",pnc financial services group incorporated the
1.0,1070345,FIFTH THIRD BANCORP,fifth third bancorp,fifth third bancorp,fifth third bancorp,1070345,20171231,4,500,CINCINNATI,UNITED STATES,0,0,FIFTH THIRD BANCORP,FIFTH THIRD BC,1,FRS,OH,fifth third bancorp,fifth third bancorp
1.0,1070448,WESBANCO INC,wesbanco inc,wesbanco incorporated,wesbanco incorporated,1070448,20171231,4,500,WHEELING,UNITED STATES,0,0,"WESBANCO, INC.",WESBANCO,1,FRS,WV,"wesbanco, inc.",wesbanco incorporated
1.0,1070644,COMMUNITY TRUST BANCORP INC,community trust bancorp inc,community trust bancorp incorporated,community trust bancorp incorporated,1070644,20171231,4,500,PIKEVILLE,UNITED STATES,0,0,"COMMUNITY TRUST BANCORP, INC.",COMMUNITY TR BC,1,FRS,KY,"community trust bancorp, inc.",community trust bancorp incorporated
1.0,1070804,FIRSTMERIT CORP,firstmerit corp,firstmerit corporation,first merchants corporation,1208559,20171231,7,500,MUNCIE,UNITED STATES,0,TZTBT0OTGQ2FEK6XMX94,FIRST MERCHANTS CORPORATION,FIRST MRCHS CORP,1,FRS,IN,first merchants corporation,first merchants corporation
1.0,1208559,FIRST MERCHANTS CORPORATION,first merchants corporation,first merchants corporation,first merchants corporation,1208559,20171231,7,500,MUNCIE,UNITED STATES,0,TZTBT0OTGQ2FEK6XMX94,FIRST MERCHANTS CORPORATION,FIRST MRCHS CORP,1,FRS,IN,first merchants corporation,first merchants corporation
1.0,1073757,BANK OF AMERICA CORPORATION,bank of america corporation,bank of america corporation,bank of america corporation,1073757,20171231,5,500,CHARLOTTE,UNITED STATES,0,9DJT3UXIJIZJI4WXO774,BANK OF AMERICA CORPORATION,BANK OF AMER CORP,1,FRS,NC,bank of america corporation,bank of america corporation
1.0,1074156,BB&T CORPORATION,bb&t corporation,bbt corporation,bbt corporation,1074156,20171231,5,500,WINSTON-SALEM,UNITED STATES,0,549300DRQQI75D2JP341,BB&T CORPORATION,BB&T CORP,1,FRS,NC,bb&t corporation,bbt corporation
1.0,1076208,YORK BANCSHARES INC,york bancshares inc,york bancshares incorporated,york bancshares incorporated,1076208,20171231,5,500,YORK,UNITED STATES,0,0,"YORK BANCSHARES, INC.",YORK BSHRS,1,FRS,SC,"york bancshares, inc.",york bancshares incorporated
1.0,1076673,OLD POINT FINANCIAL CORPORATION,old point financial corporation,old point financial corporation,old point financial corporation,1076673,20171231,5,500,HAMPTON,UNITED STATES,0,0,OLD POINT FINANCIAL CORPORATION,OLD POINT FC,1,FRS,VA,old point financial corporation,old point financial corporation
1.0,1076703,VIRGINIA COMMUNITY BANKSHARES INC,virginia community bankshares inc,virginia community bankshares incorporated,virginia community bankshares incorporated,1076703,20171231,5,500,LOUISA,UNITED STATES,0,0,"VIRGINIA COMMUNITY BANKSHARES, INC.",VIRGINIA CMNTY BSHRS,1,FRS,VA,"virginia community bankshares, inc.",virginia community bankshares incorporated
1.0,1078846,SYNOVUS FINANCIAL CORP,synovus financial corp,synovus financial corporation,synovus financial corporation,1078846,20171231,6,500,COLUMBUS,UNITED STATES,0,549300EIUS8UN5JTLE54,SYNOVUS FINANCIAL CORP.,SYNOVUS FC,1,FRS,GA,synovus financial corp.,synovus financial corporation
1.0,1079562,TRUSTMARK CORPORATION,trustmark corporation,trustmark corporation,trustmark corporation,1079562,20171231,6,500,JACKSON,UNITED STATES,0,5493000HPQ4D2RZ79739,TRUSTMARK CORPORATION,TRUSTMARK CORP,1,FRS,MS,trustmark corporation,trustmark corporation
1.0,1080803,VOLUNTEER STATE BANCSHARES INC,volunteer state bancshares inc,volunteer state bancshares incorporated,volunteer state bancshares incorporated,1080803,20171231,6,500,PORTLAND,UNITED STATES,0,0,"VOLUNTEER STATE BANCSHARES, INC.",VOLUNTEER ST BSHRS,1,FRS,TN,"volunteer state bancshares, inc.",volunteer state bancshares incorporated
1.0,1082067,AMERIS BANCORP,ameris bancorp,ameris bancorp,ameris bancorp,1082067,20171231,6,500,MOULTRIE,UNITED STATES,0,PBJHNT51T5V6G5UQFV42,AMERIS BANCORP,AMERIS BC,1,FRS,GA,ameris bancorp,ameris bancorp
1.0,1085460,CLINTON BANCSHARES INC,clinton bancshares inc,clinton bancshares incorporated,clinton bancshares incorporated,1055593,20171231,10,500,CLINTON,UNITED STATES,0,0,"CLINTON BANCSHARES, INC.",CLINTON BSHRS,1,FRS,OK,"clinton bancshares, inc.",clinton bancshares incorporated
1.0,1085460,CLINTON BANCSHARES INC,clinton bancshares inc,clinton bancshares incorporated,clinton bancshares incorporated,1085460,20171231,6,500,CLINTON,UNITED STATES,0,0,"CLINTON BANCSHARES, INC.",CLINTON BSHRS,1,FRS,LA,"clinton bancshares, inc.",clinton bancshares incorporated
1.0,1086533,HANCOCK WHITNEY CORPORATION,hancock whitney corporation,hancock whitney corporation,whitney corporation of iowa,1200571,20171231,7,500,ATLANTIC,UNITED STATES,0,0,WHITNEY CORPORATION OF IOWA,WHITNEY CORP IA,1,FRS,IA,whitney corporation of iowa,whitney corporation of iowa
1.0,1094314,CENTRAL BANCOMPANY INC,central bancompany inc,central bancompany incorporated,central bancompany incorporated,1094314,20171231,8,500,JEFFERSON CITY,UNITED STATES,0,0,"CENTRAL BANCOMPANY, INC",CENTRAL BANCOMPANY INC,1,FRS,MO,"central bancompany, inc",central bancompany incorporated
1.0,1094613,DELTA BANCSHARES COMPANY,delta bancshares company,delta bancshares company,delta bancshares company,1094613,20171231,8,500,SAINT LOUIS,UNITED STATES,0,0,DELTA BANCSHARES COMPANY,DELTA BSHRS CO,1,FRS,MO,delta bancshares company,delta bancshares company
1.0,1094640,FIRST HORIZON CORPORATION,first horizon corporation,first horizon corporation,first horizon national corporation,1094640,20171231,8,500,MEMPHIS,UNITED STATES,0,TF3RXI1ZB1TQ30H9JV10,FIRST HORIZON NATIONAL CORPORATION,FIRST HORIZON NAT CORP,1,FRS,TN,first horizon national corporation,first horizon national corporation
1.0,1094828,SIMMONS FIRST NATIONAL CORPORATION,simmons first national corporation,simmons first national corporation,simmons first national corporation,1094828,20171231,8,500,PINE BLUFF,UNITED STATES,0,0,SIMMONS FIRST NATIONAL CORPORATION,SIMMONS FIRST NAT CORP,1,FRS,AR,simmons first national corporation,simmons first national corporation
3.0,1095674,ARVEST BANK GROUP INC,arvest bank group inc,arvest bank group incorporated,arvest bank group incorporated,1095674,20171231,8,500,BENTONVILLE,UNITED STATES,0,PW6XHTL8UAL7DB8VUQ11,"ARVEST BANK GROUP, INC.",ARVEST BK GRP,1,FRS,AR,"arvest bank group, inc.",arvest bank group incorporated
1.0,1095722,TOWN & COUNTRY BANCSHARES INC,town & country bancshares inc,town country bancshares incorporated,town country bancshares incorporated,1095722,20171231,8,500,SALEM,UNITED STATES,0,0,"TOWN & COUNTRY BANCSHARES, INC",TOWN & COUNTRY BSHRS,1,FRS,MO,"town & country bancshares, inc",town country bancshares incorporated
1.0,1095722,TOWN & COUNTRY BANCSHARES INC,town & country bancshares inc,town country bancshares incorporated,town country bancshares incorporated,2725660,20171231,10,500,NORMAN,UNITED STATES,0,0,"TOWN & COUNTRY BANCSHARES, INC.",TOWN & COUNTRY BSHRS,1,FRS,OK,"town & country bancshares, inc.",town country bancshares incorporated
1.0,1095843,MAGNOLIA BANCSHARES INC,magnolia bancshares inc,magnolia bancshares incorporated,magnolia bancshares incorporated,1095843,20171231,8,500,HODGENVILLE,UNITED STATES,0,0,"MAGNOLIA BANCSHARES, INC.",MAGNOLIA BSHRS,1,FRS,KY,"magnolia bancshares, inc.",magnolia bancshares incorporated
3.0,1095889,FIRST ILLINOIS BANCORP INC,first illinois bancorp inc,first illinois bancorp incorporated,first illinois bancorp incorporated,1095889,20171231,8,500,EAST SAINT LOUIS,UNITED STATES,0,0,"FIRST ILLINOIS BANCORP, INC.",FIRST IL BANCORP,1,FRS,IL,"first illinois bancorp, inc.",first illinois bancorp incorporated
1.0,1097025,REPUBLIC BANCORP INC,republic bancorp inc,republic bancorp incorporated,republic bancorp incorporated,1097025,20171231,8,500,LOUISVILLE,UNITED STATES,0,0,"REPUBLIC BANCORP, INC.",REPUBLIC BANCORP,1,FRS,KY,"republic bancorp, inc.",republic bancorp incorporated
1.0,1097025,REPUBLIC BANCORP INC,republic bancorp inc,republic bancorp incorporated,republic bancorp incorporated,3333790,20171231,10,500,BELLEVILLE,UNITED STATES,0,0,"REPUBLIC BANCORP, INC.",REPUBLIC BC,1,FRS,KS,"republic bancorp, inc.",republic bancorp incorporated
1.0,1098303,OLD NATIONAL BANCORP,old national bancorp,old national bancorp,old national bancorp,1098303,20171231,8,500,EVANSVILLE,UNITED STATES,0,549300MMK90CL5KMVX16,OLD NATIONAL BANCORP,OLD NAT BC,1,FRS,IN,old national bancorp,old national bancorp
1.0,1099896,MOSCOW BANCSHARES INC,moscow bancshares inc,moscow bancshares incorporated,moscow bancshares incorporated,1099896,20171231,8,500,PIPERTON,UNITED STATES,0,0,"MOSCOW BANCSHARES, INC.",MOSCOW BSHRS,1,FRS,TN,"moscow bancshares, inc.",moscow bancshares incorporated
1.0,1099917,FIRST STATE BANCSHARES INC,first state bancshares inc,first state bancshares incorporated,first state bancshares incorporated,1057850,20171231,10,500,SCOTTSBLUFF,UNITED STATES,0,0,"FIRST STATE BANCSHARES, INC.",FIRST ST BSHRS,1,FRS,NE,"first state bancshares, inc.",first state bancshares incorporated
1.0,1099917,FIRST STATE BANCSHARES INC,first state bancshares inc,first state bancshares incorporated,first state bancshares incorporated,1070998,20171231,4,500,MIDDLESBORO,UNITED STATES,0,0,"FIRST STATE BANCSHARES, INC.",FIRST ST BSHRS,1,FRS,KY,"first state bancshares, inc.",first state bancshares incorporated
1.0,1099917,FIRST STATE BANCSHARES INC,first state bancshares inc,first state bancshares incorporated,first state bancshares incorporated,1099917,20171231,8,500,FARMINGTON,UNITED STATES,0,0,"FIRST STATE BANCSHARES, INC.",FIRST ST BSHRS,1,FRS,MO,"first state bancshares, inc.",first state bancshares incorporated
1.0,1099917,FIRST STATE BANCSHARES INC,first state bancshares inc,first state bancshares incorporated,first state bancshares incorporated,1416550,20171231,8,500,SAINT CHARLES,UNITED STATES,0,0,"FIRST STATE BANCSHARES, INC.",FIRST ST BSHRS,1,FRS,MO,"first state bancshares, inc.",first state bancshares incorporated
1.0,1099917,FIRST STATE BANCSHARES INC,first state bancshares inc,first state bancshares incorporated,first state bancshares incorporated,1975459,20171231,7,500,NEW LONDON,UNITED STATES,0,0,"FIRST STATE BANCSHARES, INC.",FIRST ST BSHRS,1,FRS,WI,"first state bancshares, inc.",first state bancshares incorporated
1.0,1099917,FIRST STATE BANCSHARES INC,first state bancshares inc,first state bancshares incorporated,first state bancshares incorporated,2032724,20171231,8,500,DEQUEEN,UNITED STATES,0,0,"FIRST STATE BANCSHARES, INC.",FIRST ST BSHRS,1,FRS,AR,"first state bancshares, inc.",first state bancshares incorporated
1.0,1099917,FIRST STATE BANCSHARES INC,first state bancshares inc,first state bancshares incorporated,first state bancshares incorporated,2592705,20171231,7,500,IDA GROVE,UNITED STATES,0,0,"FIRST STATE BANCSHARES, INC.",FIRST ST BSHRS,1,FRS,IA,"first state bancshares, inc.",first state bancshares incorporated
3.0,1101726,TEXAS GULF BANCSHARES INC,texas gulf bancshares inc,texas gulf bancshares incorporated,texas gulf bancshares incorporated,1101726,20171231,11,500,HOUSTON,UNITED STATES,0,0,"TEXAS GULF BANCSHARES, INC.",TEXAS GULF BSHRS,1,FRS,TX,"texas gulf bancshares, inc.",texas gulf bancshares incorporated
1.0,1103391,COMMERCE BANCSHARES INC,commerce bancshares inc,commerce bancshares incorporated,commerce bancshares incorporated,1049341,20171231,10,500,KANSAS CITY,UNITED STATES,0,0,"COMMERCE BANCSHARES, INC.",COMMERCE BSHRS,1,FRS,MO,"commerce bancshares, inc.",commerce bancshares incorporated
1.0,1103391,COMMERCE BANCSHARES INC,commerce bancshares inc,commerce bancshares incorporated,commerce bancshares incorporated,1103391,20171231,11,500,LUBBOCK,UNITED STATES,0,0,"COMMERCE BANCSHARES, INC.",COMMERCE BSHRS,1,FRS,TX,"commerce bancshares, inc.",commerce bancshares incorporated
1.0,1103391,COMMERCE BANCSHARES INC,commerce bancshares inc,commerce bancshares incorporated,commerce bancshares incorporated,2452630,20171231,9,500,EDINA,UNITED STATES,0,0,"COMMERCE BANCSHARES, INC.",COMMERCE BSHRS,1,FRS,MN,"commerce bancshares, inc.",commerce bancshares incorporated
1.0,1103391,COMMERCE BANCSHARES INC,commerce bancshares inc,commerce bancshares incorporated,commerce bancshares incorporated,2480491,20171231,10,500,CATOOSA,UNITED STATES,0,0,"COMMERCE BANCSHARES, INC.",COMMERCE BSHRS,1,FRS,OK,"commerce bancshares, inc.",commerce bancshares incorporated
1.0,1103391,COMMERCE BANCSHARES INC,commerce bancshares inc,commerce bancshares incorporated,commerce bancshares incorporated,3135471,20171231,6,500,WHITE CASTLE,UNITED STATES,0,0,"COMMERCE BANCSHARES, INC.",COMMERCE BSHRS,1,FRS,LA,"commerce bancshares, inc.",commerce bancshares incorporated
1.0,1104567,CENDERA FINANCIAL HOLDINGS INC,cendera financial holdings inc,cendera financial holdings incorporated,cendera financial holdings incorporated,1104567,20171231,11,500,BELLS,UNITED STATES,0,0,"CENDERA FINANCIAL HOLDINGS, INC.",CENDERA FNCL HOLDS,1,FRS,TX,"cendera financial holdings, inc.",cendera financial holdings incorporated
1.0,1107184,SOUTHERN BANCSHARES INC,southern bancshares inc,southern bancshares incorporated,southern bancshares incorporated,1107184,20171231,11,500,HOUSTON,UNITED STATES,0,0,"SOUTHERN BANCSHARES, INC.",SOUTHERN BSHRS,1,FRS,TX,"southern bancshares, inc.",southern bancshares incorporated
3.0,1109553,VAN ALSTYNE FINANCIAL CORPORATION,van alstyne financial corporation,van alstyne financial corporation,van alstyne financial corporation,1109553,20171231,11,500,VAN ALSTYNE,UNITED STATES,0,0,VAN ALSTYNE FINANCIAL CORPORATION,VAN ALSTYNE FC,1,FRS,TX,van alstyne financial corporation,van alstyne financial corporation
1.0,1109599,PROSPERITY BANCSHARES INC,prosperity bancshares inc,prosperity bancshares incorporated,prosperity bancshares incorporated,1109599,20171231,11,500,HOUSTON,UNITED STATES,0,0,"PROSPERITY BANCSHARES, INC.",PROSPERITY BSHRS,1,FRS,TX,"prosperity bancshares, inc.",prosperity bancshares incorporated
1.0,1116609,UNIVEST FINANCIAL CORPORATION,univest financial corporation,univest financial corporation,uniti financial corporation,3344620,20171231,12,500,BUENA PARK,UNITED STATES,0,0,UNITI FINANCIAL CORPORATION,UNITI FC,1,FRS,CA,uniti financial corporation,uniti financial corporation
1.0,1118948,COMMONWEALTH BANCSHARES INC,commonwealth bancshares inc,commonwealth bancshares incorporated,commonwealth bancshares incorporated,1118948,20171231,8,500,LOUISVILLE,UNITED STATES,0,0,"COMMONWEALTH BANCSHARES, INC.",COMMONWEALTH BSHRS,1,FRS,KY,"commonwealth bancshares, inc.",commonwealth bancshares incorporated
2.0,1119794,US BANCORP,us bancorp,us bancorp,us bancorp,1119794,20171231,9,500,MINNEAPOLIS,UNITED STATES,0,N1GZ7BBF3NP8GI976H15,U.S. BANCORP,U S BC,1,FRS,MN,u.s. bancorp,us bancorp
1.0,1120754,WELLS FARGO & COMPANY,wells fargo & company,wells fargo company,wells fargo company,1120754,20171231,12,500,SAN FRANCISCO,UNITED STATES,0,PBLD0EJDB5FWOLXP3B76,WELLS FARGO & COMPANY,WELLS FARGO & CO,1,FRS,CA,wells fargo & company,wells fargo company
3.0,1123670,FIRST INTERSTATE BANCSYSTEM INC,first interstate bancsystem inc,first interstate bancsystem incorporated,first interstate bancsystem incorporated,1123670,20171231,9,500,BILLINGS,UNITED STATES,0,0,"FIRST INTERSTATE BANCSYSTEM, INC.",FIRST INTRST BANCSYSTEM,1,FRS,MT,"first interstate bancsystem, inc.",first interstate bancsystem incorporated
1.0,1129382,POPULAR INC,popular inc,popular incorporated,popular incorporated,1129382,20171231,2,500,SAN JUAN,PUERTO RICO,0,0,"POPULAR, INC.",POPULAR,1,FRS,PR,"popular, inc.",popular incorporated
1.0,1129690,TRIAD BANCSHARES INC,triad bancshares inc,triad bancshares incorporated,triad bancshares incorporated,1129690,20171231,10,500,TULSA,UNITED STATES,0,0,"TRIAD BANCSHARES, INC.",TRIAD BSHRS,1,FRS,OK,"triad bancshares, inc.",triad bancshares incorporated
